,Training Path,Simulation Path,Q-Value Rewards,Q-Value Volume Left,DP Rewards,DP Volume Left,Keras Rewards,Keras Volume Left,Set and Leave Rewards,Set and Leave Volume Left
0,data/order_books/2011/IF1101.csv,data/order_books/2011/IF1101.csv,0.0,2000,-0.48742254228770576,0,-0.40529224585489576,0,-0.4114553676100367,0
0,data/order_books/2011/IF1101.csv,data/order_books/2012/IF1201.csv,0.0,2000,-0.45766443812788593,212,-0.32147003482917247,858,-0.12690660154523178,1310
0,data/order_books/2011/IF1101.csv,data/order_books/2013/IF1301.csv,0.0,2000,-0.2941789144773582,0,-0.29209582224266345,0,-0.3061374069357538,0
0,data/order_books/2011/IF1101.csv,data/order_books/2014/IF1401.csv,0.0,2000,-0.3088834929218429,0,-0.25619645393345153,0,-0.2983460851241536,0
0,data/order_books/2012/IF1201.csv,data/order_books/2011/IF1101.csv,0.0018422374811572595,1945,-0.41768547981906196,0,-0.42538938201297893,0,-0.4114553676100367,0
0,data/order_books/2012/IF1201.csv,data/order_books/2012/IF1201.csv,0.0,2000,-0.4465751231032674,233,-0.31322310741009607,542,-0.12690660154523178,1310
0,data/order_books/2012/IF1201.csv,data/order_books/2013/IF1301.csv,0.0,2000,-0.29209582224266345,0,-0.2985765536394861,0,-0.3061374069357538,0
0,data/order_books/2012/IF1201.csv,data/order_books/2014/IF1401.csv,0.0,2000,-0.25619645393345153,0,-0.2972465295278925,0,-0.2983460851241536,0
0,data/order_books/2013/IF1301.csv,data/order_books/2011/IF1101.csv,-0.37300284709423254,0,-0.48742254228770576,0,-0.28444146709095774,0,-0.4114553676100367,0
0,data/order_books/2013/IF1301.csv,data/order_books/2012/IF1201.csv,-0.25345290043624386,671,-0.45766443812788593,212,-0.2481684615075871,1011,-0.12690660154523178,1310
0,data/order_books/2013/IF1301.csv,data/order_books/2013/IF1301.csv,-0.2138641360951648,0,-0.2941789144773582,0,-0.20337152335745107,0,-0.3061374069357538,0
0,data/order_books/2013/IF1301.csv,data/order_books/2014/IF1401.csv,-0.1610848948552663,0,-0.3088834929218429,0,-0.1703394877906132,0,-0.2983460851241536,0
0,data/order_books/2014/IF1401.csv,data/order_books/2011/IF1101.csv,-0.42538938201297893,0,-0.30561045051080193,0,-0.36215039356886897,0,-0.4114553676100367,0
0,data/order_books/2014/IF1401.csv,data/order_books/2012/IF1201.csv,-0.298811001240914,566,-0.3119820649344157,517,-0.25129108451086535,653,-0.12690660154523178,1310
0,data/order_books/2014/IF1401.csv,data/order_books/2013/IF1301.csv,-0.2985765536394861,0,-0.13848705782500004,0,-0.15268294564662868,0,-0.3061374069357538,0
0,data/order_books/2014/IF1401.csv,data/order_books/2014/IF1401.csv,-0.2972465295278925,0,-0.0916296330236531,0,-0.0916296330236531,0,-0.2983460851241536,0
