,Training Path,Simulation Path,Q-Value Rewards,Q-Value Volume Left,DP Rewards,DP Volume Left,Keras Rewards,Keras Volume Left,Set and Leave Rewards,Set and Leave Volume Left
0,data/order_books/2011/IF1101.csv,data/order_books/2011/IF1101.csv,-0.3904873555517749,0,-0.4202981075195971,0,-0.37956791157254355,0,-0.4114553676100367,0
0,data/order_books/2011/IF1101.csv,data/order_books/2012/IF1201.csv,-0.19011970054838864,1141,-0.38420273029331153,393,-0.2809159694141827,605,-0.12690660154523178,1310
0,data/order_books/2011/IF1101.csv,data/order_books/2013/IF1301.csv,-0.20337152335745107,0,-0.29417891447735556,0,-0.25436870732541106,0,-0.3061374069357538,0
0,data/order_books/2011/IF1101.csv,data/order_books/2014/IF1401.csv,-0.1703394877906132,0,-0.2552801576032192,0,-0.09162963302365311,0,-0.2983460851241536,0
0,data/order_books/2012/IF1201.csv,data/order_books/2011/IF1101.csv,-0.05828169485849548,1544,-0.36523195444644796,0,-0.07529727013903023,1290,-0.4114553676100367,0
0,data/order_books/2012/IF1201.csv,data/order_books/2012/IF1201.csv,-0.20281036070291852,1152,-0.1916409784217552,783,-0.06477441050477115,1494,-0.12690660154523178,1310
0,data/order_books/2012/IF1201.csv,data/order_books/2013/IF1301.csv,-0.2558345870461109,0,-0.20337152335745107,0,-0.2138641360951648,0,-0.3061374069357538,0
0,data/order_books/2012/IF1201.csv,data/order_books/2014/IF1401.csv,-0.18747422916595838,0,-0.1703394877906132,0,-0.1610848948552663,0,-0.2983460851241536,0
0,data/order_books/2013/IF1301.csv,data/order_books/2011/IF1101.csv,-0.4306146374141013,0,-0.05017584994139697,1494,-0.43865349187731767,0,-0.4114553676100367,0
0,data/order_books/2013/IF1301.csv,data/order_books/2012/IF1201.csv,-0.2533327995515552,1092,-0.12794747587962607,954,-0.10893150246201258,1399,-0.12690660154523178,1310
0,data/order_books/2013/IF1301.csv,data/order_books/2013/IF1301.csv,-0.29487327855558715,0,-0.23145469274368488,0,-0.30613740693575386,0,-0.3061374069357538,0
0,data/order_books/2013/IF1301.csv,data/order_books/2014/IF1401.csv,-0.31639712282974886,0,-0.09162963302365308,0,-0.1957208961380655,0,-0.2983460851241536,0
0,data/order_books/2014/IF1401.csv,data/order_books/2011/IF1101.csv,-0.40448836040856073,0,-0.05108022106851053,1467,-0.42391559202805124,0,-0.4114553676100367,0
0,data/order_books/2014/IF1401.csv,data/order_books/2012/IF1201.csv,-0.20489210937175412,788,-0.12890828295757067,946,-0.10893150246201258,1399,-0.12690660154523178,1310
0,data/order_books/2014/IF1401.csv,data/order_books/2013/IF1301.csv,-0.31176947112587716,0,-0.208617829726308,0,-0.30613740693575386,0,-0.3061374069357538,0
0,data/order_books/2014/IF1401.csv,data/order_books/2014/IF1401.csv,-0.2658175654008862,0,-0.0916296330236531,0,-0.1957208961380655,0,-0.2983460851241536,0
